游戏名,开发者,平台,热度,展示估值,本周人气,投放天数,图片URL,视频URL
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,935,534846,0,139,https://sp.dataideaglobal.com/sp_opera/b831727cdbac81beb54bd10614c73982.jpg,https://sp.dataideaglobal.com/sp_opera/49fad906f13110485ae33bb2b0672a60.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,975,799580,0,162,https://sp.dataideaglobal.com/sp_opera/0ef20dc4e109a1b57ebca900db2a51a1.jpg,https://sp.dataideaglobal.com/sp_opera/295f2d97cbf957150ca24fd14ff11f21.mp4
Color Oasis - Color by Number,Tap Color Studio,audience_network,75,238939,1638,13,https://sp.dataideaglobal.com/sp_opera/29d9967f43519a6b1424f8e9e2c72055.jpg,https://sp.dataideaglobal.com/sp_opera/29466bb4578f98db57bcb6bf5d6183c2.mp4
Hidden Object Games: Seek It,NimbleMind,instagram,96,228832,0,19,https://sp.dataideaglobal.com/sp_opera/5045fa172d5b0c71740f1f756b9b9310.jpg,
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,665,528074,0,91,https://sp.dataideaglobal.com/sp_opera/192fbc668d1314a6322c567284c0304f.jpg,https://sp.dataideaglobal.com/sp_opera/8e44da67295c71fc8ba1b3505ecfe670.mp4
Water Match™- ASMR Water Sort,TAP GAMES,audience_network,78,300125,37576,14,https://sp.dataideaglobal.com/sp_opera/0dd58ae23a454596607084104305ecdb.jpg,https://sp.dataideaglobal.com/sp_opera/65de7b25b1c9365cae23b2f310ee4831.mp4
Happy Color®: Color by Number,X-FLOW,instagram,692,298252,74003,96,https://sp.dataideaglobal.com/sp_opera/3ea27d70effce761ceb75e6a3e527d90.jpg,https://sp.dataideaglobal.com/sp_opera/c951edb45e88a976406d879ab750d00e.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,980,824361,0,168,https://sp.dataideaglobal.com/sp_opera/c80a956e0c2e7779932e87603829baf9.jpg,https://sp.dataideaglobal.com/sp_opera/962538c19f70a647d797ffaddca76502.mp4
Car Jam: Traffic Puzzle,Shycheese,audience_network,999,318388,105535,345,https://sp.dataideaglobal.com/sp_opera/0c6767a368ce07f77b405ab8b62c9418.jpg,https://sp.dataideaglobal.com/sp_opera/83313870afffa57e26c60279ad40f1e9.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,937,477588,0,140,https://sp.dataideaglobal.com/sp_opera/c9a32444efd30e0710ee2e140b29f1bd.jpg,https://sp.dataideaglobal.com/sp_opera/ad78f275143ff34b5355441384868df4.mp4
